Name,Type,Level,Race,Attribute,ATK,DEF,Collected
Snake Fang,Trap Card,,Normal,,,,FALSE
Malefic Rainbow Dragon,Effect Monster,10,Dragon,DARK,4000,0,TRUE
"Virgil, Rock Star of the Burning Abyss",Synchro Monster,6,Spellcaster,LIGHT,2500,1000,FALSE
Gladiator Beast Retiari,Effect Monster,3,Aqua,WATER,1200,800,TRUE
Majespecter Toad - Ogama,Pendulum Effect Monster,4,Spellcaster,WIND,1300,500,FALSE
Alien Ammonite,Tuner Monster,1,Reptile,LIGHT,500,200,TRUE
Dark Eruption,Spell Card,,Normal,,,,FALSE
Zodiac Sign,Spell Card,,Field,,,,TRUE
Solar Recharge,Spell Card,,Normal,,,,FALSE
Thunder End Dragon,XYZ Monster,8,Dragon,LIGHT,3000,2000,TRUE
Atlantean Marksman,Effect Monster,3,Sea Serpent,WATER,1400,0,FALSE
Amazoness Village,Spell Card,,Field,,,,TRUE
Temple of Skulls,Normal Monster,4,Zombie,DARK,900,1300,FALSE
"Rubic, Malebranche of the Burning Abyss",Tuner Monster,3,Fiend,DARK,100,2100,TRUE
Doron,Normal Monster,2,Warrior,EARTH,900,500,FALSE
Hiita the Fire Charmer,Flip Effect Monster,3,Spellcaster,FIRE,500,1500,TRUE
Empress of Prophecy,XYZ Monster,5,Spellcaster,LIGHT,2000,1700,FALSE
Super Soldier Shield,Trap Card,,Counter,,,,TRUE
Number Wall,Trap Card,,Continuous,,,,FALSE
Dragunity Arma Mystletainn,Effect Monster,6,Dragon,WIND,2100,1500,TRUE
Dragunity Knight - Gae Bulg,Synchro Monster,6,Dragon,WIND,2000,1100,FALSE
Vertical Landing,Spell Card,,Quick-Play,,,,TRUE
Unexpected Dai,Spell Card,,Normal,,,,FALSE
Gagagatag,Spell Card,,Normal,,,,TRUE
Geargiarmor,Effect Monster,4,Machine,EARTH,1100,1900,FALSE
Penalty Game!,Trap Card,,Normal,,,,TRUE
Armed Dragon LV3,Effect Monster,3,Dragon,WIND,1200,900,FALSE
Half Unbreak,Trap Card,,Normal,,,,TRUE
Rebound,Trap Card,,Counter,,,,FALSE
Expressroid,Effect Monster,4,Machine,EARTH,400,1600,TRUE
Doggy Diver,Effect Monster,4,Warrior,DARK,1000,1000,FALSE
Starlight Junktion,Spell Card,,Field,,,,TRUE
Void Trap Hole,Trap Card,,Normal,,,,FALSE
Junk Changer,Tuner Monster,3,Warrior,EARTH,1500,900,TRUE
Painful Decision,Spell Card,,Normal,,,,FALSE
Misfortune,Spell Card,,Normal,,,,TRUE
Geargiano Mk-II,Effect Monster,3,Machine,EARTH,1000,500,FALSE
Satellarknight Unukalhai,Effect Monster,4,Warrior,LIGHT,1800,1000,TRUE
Scrapyard,Spell Card,,Normal,,,,FALSE
Magic Planter,Spell Card,,Normal,,,,TRUE
Pyro Clock of Destiny,Trap Card,,Normal,,,,FALSE
Dark Mimic LV3,Effect Monster,3,Fiend,DARK,1000,1000,TRUE
Sargasso the D.D. Battlefield,Spell Card,,Field,,,,FALSE
Deck Lockdown,Spell Card,,Continuous,,,,TRUE
Paleozoic Leanchoilia,Trap Card,,Normal,,,,FALSE
Kojikocy,Normal Monster,4,Warrior,EARTH,1500,1200,TRUE
Mirror of Yata,Spell Card,,Equip,,,,FALSE
Malevolent Catastrophe,Trap Card,,Normal,,,,TRUE
Chain Destruction,Trap Card,,Normal,,,,FALSE
Herald of Pure Light,XYZ Monster,2,Fairy,LIGHT,600,1000,TRUE
Gem-Knight Fusion,Spell Card,,Normal,,,,FALSE
Kozmo Soartroopers,Effect Monster,3,Psychic,DARK,1000,1000,TRUE
Vylon Tetra,Tuner Monster,2,Machine,LIGHT,900,900,FALSE
Prime Material Falcon,Effect Monster,5,Winged Beast,WIND,2200,800,TRUE
T.G. Striker,Tuner Monster,2,Warrior,EARTH,800,0,FALSE
Mysterious Guard,Flip Effect Monster,3,Spellcaster,EARTH,800,1200,TRUE
"Valhalla, Hall of the Fallen",Spell Card,,Continuous,,,,FALSE
Ronintoadin,Effect Monster,2,Aqua,WATER,100,2000,TRUE
Photon Crusher,Effect Monster,4,Warrior,LIGHT,2000,0,FALSE
Vampire Koala,Effect Monster,4,Beast,EARTH,1800,1500,TRUE
Shared Ride,Spell Card,,Quick-Play,,,,FALSE
Hazy Flame Sphynx,Effect Monster,6,Beast-Warrior,FIRE,1900,1900,TRUE
Super Roboyarou,Fusion Monster,6,Machine,EARTH,1200,500,FALSE
Phantom Token,Token,,Fiend,,,,TRUE
Chaos Necromancer,Effect Monster,1,Fiend,DARK,0,0,FALSE
Dragon Treasure,Spell Card,,Equip,,,,TRUE
Bee List Soldier,Effect Monster,1,Insect,WIND,500,400,FALSE
Allure of Darkness,Spell Card,,Normal,,,,TRUE
Kagemusha of the Six Samurai,Tuner Monster,2,Warrior,EARTH,400,1800,FALSE
Rune-Eyes Pendulum Dragon,Fusion Monster,8,Dragon,DARK,3000,2000,TRUE
The Hunter with 7 Weapons,Effect Monster,3,Warrior,EARTH,1000,600,FALSE
R-Genex Magma,Effect Monster,3,Pyro,FIRE,1000,200,TRUE
Space Gift,Spell Card,,Normal,,,,FALSE
Cyber End Dragon,Fusion Monster,10,Machine,LIGHT,4000,2800,TRUE
Cyber End Dragon,Fusion Monster,10,Machine,LIGHT,4000,2800,FALSE
"Rose, Warrior of Revenge",Tuner Monster,4,Warrior,FIRE,1600,600,TRUE
Silver Bow and Arrow,Spell Card,,Equip,,,,FALSE
ABC-Dragon Buster,Fusion Monster,8,Machine,LIGHT,3000,2800,TRUE
White Ninja,Flip Effect Monster,4,Warrior,LIGHT,1500,800,FALSE
Deep-Space Cruiser IX,Effect Monster,9,Machine,LIGHT,900,900,TRUE
Dimension Fortress Weapon,Effect Monster,4,Machine,DARK,1700,200,FALSE
Dark Requiem Xyz Dragon,XYZ Monster,5,Dragon,DARK,3000,2500,TRUE
Grand Horn of Heaven,Trap Card,,Counter,,,,FALSE
Divine Dragon Knight Felgrand,XYZ Monster,8,Warrior,LIGHT,2800,1800,TRUE
Fusionist,Fusion Monster,3,Beast,EARTH,900,700,FALSE
Vylon Segment,Spell Card,,Equip,,,,TRUE
Brotherhood of the Fire Fist - Spirit,Tuner Monster,3,Beast-Warrior,FIRE,500,200,FALSE
Spell Purification,Trap Card,,Normal,,,,TRUE
Ultimaya Tzolkin,Synchro Monster,12,Dragon,DARK,0,0,FALSE
The Big March of Animals,Spell Card,,Quick-Play,,,,TRUE
PSY-Framegear Epsilon,Tuner Monster,2,Psychic,LIGHT,1500,0,FALSE
Malefic Cyber End Dragon,Effect Monster,10,Machine,DARK,4000,2800,TRUE
Nekogal 1,Normal Monster,3,Beast,EARTH,1100,900,FALSE
Fuh-Rin-Ka-Zan,Trap Card,,Normal,,,,TRUE
Uraby,Normal Monster,4,Dinosaur,EARTH,1500,800,FALSE
The Eye of Timaeus,Spell Card,,Normal,,,,TRUE
Centrifugal Field,Spell Card,,Field,,,,FALSE
Sealing Ceremony of Mokuton,Trap Card,,Continuous,,,,TRUE
Dark Coffin,Trap Card,,Normal,,,,FALSE
Toy Knight,Effect Monster,4,Machine,EARTH,200,1200,TRUE
Shadow of the Six Samurai - Shien,XYZ Monster,4,Warrior,EARTH,2500,400,FALSE
Heroic Challenger - Thousand Blades,Effect Monster,4,Warrior,EARTH,1300,1100,TRUE
Wattcine,Spell Card,,Continuous,,,,FALSE
Overdrive Teleporter,Effect Monster,6,Psychic,LIGHT,2100,1200,TRUE
Instant Fusion,Spell Card,,Normal,,,,FALSE
Bujintei Kagutsuchi,XYZ Monster,4,Beast-Warrior,LIGHT,2500,2000,TRUE
Dimension Explosion,Spell Card,,Quick-Play,,,,FALSE
Minor Goblin Official,Trap Card,,Continuous,,,,TRUE
Key Mace,Normal Monster,1,Fairy,LIGHT,400,300,FALSE
Elemental HERO Nova Master,Fusion Monster,8,Warrior,FIRE,2600,2100,TRUE
Ancient Gear Engineer,Effect Monster,5,Machine,EARTH,1500,1500,FALSE
Mokey Mokey Smackdown,Spell Card,,Continuous,,,,TRUE
Puppet Ritual,Spell Card,,Normal,,,,FALSE
Silent Swordsman LV3,Effect Monster,3,Warrior,LIGHT,1000,1000,TRUE
Blackwing - Gale the Whirlwind,Tuner Monster,3,Winged Beast,DARK,1300,400,FALSE
Hidden Soldiers,Trap Card,,Normal,,,,TRUE
Time-Space Trap Hole,Trap Card,,Normal,,,,FALSE
Gladiator Beast Lanista,Effect Monster,4,Winged Beast,WIND,1800,1200,TRUE
Wetlands,Spell Card,,Field,,,,FALSE
Worm Victory,Flip Effect Monster,7,Reptile,LIGHT,0,2500,TRUE
Constellar Praesepe,XYZ Monster,4,Machine,LIGHT,2400,800,FALSE
"Bixi, Water of the Yang Zing",Effect Monster,2,Wyrm,WATER,0,2000,TRUE
Smile World,Spell Card,,Normal,,,,FALSE
XY-Dragon Cannon,Fusion Monster,6,Machine,LIGHT,2200,1900,TRUE
Hyosube,Normal Monster,4,Aqua,WATER,1500,900,FALSE
Trap Reclamation,Trap Card,,Normal,,,,TRUE
Blue-Eyes Twin Burst Dragon,Fusion Monster,10,Dragon,LIGHT,3000,2500,FALSE
Numinous Healer,Trap Card,,Normal,,,,TRUE
Asura Priest,Spirit Monster,4,Fairy,LIGHT,1700,1200,FALSE
Meklord Army of Granel,Effect Monster,4,Machine,EARTH,1600,1200,TRUE
Armor Ninjitsu Art of Rust Mist,Trap Card,,Continuous,,,,FALSE
Cyber Prima,Effect Monster,6,Warrior,LIGHT,2300,1600,TRUE
Night Papilloperative,XYZ Monster,4,Warrior,DARK,2600,2000,FALSE
Gambler of Legend,Effect Monster,4,Spellcaster,DARK,500,1400,TRUE
XX-Saber Hyunlei,Synchro Monster,6,Warrior,EARTH,2300,1300,FALSE
Book of Life,Spell Card,,Normal,,,,TRUE
Morphtronic Staplen,Effect Monster,4,Machine,EARTH,1400,1000,FALSE
Satellarknight Altair,Effect Monster,4,Warrior,LIGHT,1700,1300,TRUE
One for One,Spell Card,,Normal,,,,FALSE
Symbol of Friendship,Spell Card,,Normal,,,,TRUE
Overdrive,Normal Monster,4,Machine,EARTH,1600,1500,FALSE
Dark Magic Attack,Spell Card,,Normal,,,,TRUE
Princess Curran,Effect Monster,4,Spellcaster,DARK,2000,0,FALSE
Road Warrior,Synchro Monster,8,Warrior,LIGHT,3000,1500,TRUE
Des Lacooda,Effect Monster,3,Zombie,EARTH,500,600,FALSE
Tyr of the Nordic Champions,Effect Monster,4,Warrior,LIGHT,2000,2000,TRUE
Great Long Nose,Spirit Monster,5,Beast-Warrior,DARK,1900,1700,FALSE
Pendulum Area,Trap Card,,Normal,,,,TRUE
Light of Redemption,Spell Card,,Normal,,,,FALSE
Steel Shell,Spell Card,,Equip,,,,TRUE
Xyz Reflect,Trap Card,,Counter,,,,FALSE
Paleozoic Eldonia,Trap Card,,Normal,,,,TRUE
Neo Flamvell Hedgehog,Tuner Monster,3,Pyro,FIRE,800,200,FALSE
Steel Cavalry of Dinon,Pendulum Effect Monster,4,Dinosaur,EARTH,1600,2600,TRUE
Power Tool Dragon,Synchro Monster,7,Machine,EARTH,2300,2500,FALSE
Laval Volcano Handmaiden,Tuner Monster,1,Pyro,FIRE,100,200,TRUE
"Shire, Lightsworn Spirit",Effect Monster,3,Fairy,LIGHT,400,1400,FALSE
Marauding Captain,Effect Monster,3,Warrior,EARTH,1200,400,TRUE
Inzektor Ladybug,Effect Monster,2,Insect,DARK,500,100,FALSE
Sealmaster Meisei,Normal Monster,3,Spellcaster,DARK,1100,900,TRUE
Water Omotics,Normal Monster,4,Aqua,WATER,1400,1200,FALSE
Skull Knight,Fusion Monster,7,Spellcaster,DARK,2650,2250,TRUE
Legendary Six Samurai - Kageki,Effect Monster,3,Warrior,WIND,200,2000,FALSE
Sky Galloping Gaia the Dragon Champion,Fusion Monster,7,Dragon,WIND,2600,2100,TRUE
Brotherhood of the Fire Fist - Swallow,Effect Monster,5,Beast-Warrior,FIRE,2000,800,FALSE
"Defender, the Magical Knight",Effect Monster,4,Spellcaster,LIGHT,1600,2000,TRUE
Galaxy-Eyes Cipher Blade Dragon,XYZ Monster,9,Dragon,LIGHT,3200,2800,FALSE
Red Cocoon,Trap Card,,Normal,,,,TRUE
Majespecter Tempest,Trap Card,,Counter,,,,FALSE
Shocktopus,Effect Monster,4,Fish,WATER,1600,800,TRUE
Wizard Buster Destruction Sword,Effect Monster,3,Spellcaster,DARK,1200,900,FALSE
Photon Chargeman,Effect Monster,4,Warrior,LIGHT,1000,1000,TRUE
Gladiator Beast Samnite,Effect Monster,3,Beast,EARTH,1600,1200,FALSE
ZW - Sleipnir Mail,Effect Monster,4,Beast,LIGHT,1000,1000,TRUE
Hyper Hammerhead,Effect Monster,4,Dinosaur,EARTH,1500,1200,FALSE
Medusa Worm,Effect Monster,2,Rock,EARTH,500,600,TRUE
Fluffal Cat,Effect Monster,1,Fairy,EARTH,700,300,FALSE
Decoy Dragon,Effect Monster,2,Dragon,FIRE,300,200,TRUE
Crystron Phoenix,Synchro Monster,9,Machine,WATER,2800,2000,FALSE
Graydle Impact,Spell Card,,Continuous,,,,TRUE
Daigusto Phoenix,XYZ Monster,2,Pyro,WIND,1500,1100,FALSE
Wattchimera,Synchro Monster,6,Thunder,LIGHT,1400,1200,TRUE
Wall of Thorns,Trap Card,,Normal,,,,FALSE
Majesty with Eyes of Blue,Spell Card,,Quick-Play,,,,TRUE
Servant of Catabolism,Effect Monster,3,Aqua,LIGHT,700,500,FALSE
PSY-Framegear Beta,Tuner Monster,1,Psychic,LIGHT,700,0,TRUE
Flame Viper,Normal Monster,2,Pyro,EARTH,400,450,FALSE
Rainbow Kuriboh,Effect Monster,1,Fiend,LIGHT,100,100,TRUE
D. Tribe,Trap Card,,Normal,,,,FALSE
Nimble Sunfish,Effect Monster,2,Fish,WATER,1000,100,TRUE
Reflect Bounder,Effect Monster,4,Machine,LIGHT,1700,1000,FALSE
Tribute Doll,Spell Card,,Normal,,,,TRUE
Grappler,Normal Monster,4,Reptile,WATER,1300,1200,FALSE
Karakuri Cash Shed,Trap Card,,Counter,,,,TRUE
Curse of Royal,Trap Card,,Counter,,,,FALSE
Gogogo Golem - Golden Form,Effect Monster,4,Rock,EARTH,0,1500,TRUE
Naturia Barkion,Synchro Monster,6,Dragon,EARTH,2500,1800,FALSE
Wicked Dragon with the Ersatz Head,Normal Monster,3,Dragon,WIND,900,900,TRUE
Ryu-Ran,Normal Monster,7,Dragon,FIRE,2200,2600,FALSE
Orion the Battle King,Normal Monster,5,Fairy,LIGHT,1800,1500,TRUE
Consecrated Light,Effect Monster,1,Fairy,LIGHT,0,0,FALSE
Twilight Rose Knight,Tuner Monster,3,Warrior,DARK,1000,1000,TRUE
Cyberdark Keel,Effect Monster,4,Machine,DARK,800,800,FALSE
Fake Trap,Trap Card,,Normal,,,,TRUE
Test Ape,Effect Monster,2,Beast,EARTH,700,300,FALSE
Trap of Board Eraser,Trap Card,,Counter,,,,TRUE
Invader of the Throne,Flip Effect Monster,4,Warrior,EARTH,1350,1700,FALSE
Superheavy Samurai Soulbang Cannon,Effect Monster,3,Machine,EARTH,1000,1000,TRUE
Snow Dragon,Effect Monster,4,Dragon,WATER,1400,900,FALSE
Return Zombie,Effect Monster,4,Zombie,DARK,1000,1600,TRUE
Blackwing - Hillen the Tengu-wind,Tuner Monster,5,Winged Beast,DARK,0,2300,FALSE
Yata-Garasu,Spirit Monster,2,Fiend,WIND,200,100,TRUE
Brilliant Spark,Trap Card,,Normal,,,,FALSE
Gem-Knight Seraphinite,Fusion Monster,5,Fairy,EARTH,2300,1400,TRUE
Superheavy Samurai Big Benkei,Effect Monster,8,Machine,EARTH,1000,3500,FALSE
Tiki Curse,Trap Card,,Continuous,,,,TRUE
Flying Kamakiri 2,Normal Monster,4,Insect,WIND,1500,800,FALSE
Level Limit - Area B,Spell Card,,Continuous,,,,TRUE
Psychic Reactor,Trap Card,,Normal,,,,FALSE
Tutan Mask,Trap Card,,Counter,,,,TRUE
Exchange of Night and Day,Trap Card,,Continuous,,,,FALSE
Puppet King,Effect Monster,7,Warrior,EARTH,2800,2600,TRUE
Takuhee,Normal Monster,4,Winged Beast,WIND,1450,1000,FALSE
Chain Dispel,Trap Card,,Normal,,,,TRUE
Worm Solid,Effect Monster,4,Reptile,LIGHT,1000,1600,FALSE
Forbidden Apocrypha,Trap Card,,Normal,,,,TRUE
Shield Spear,Trap Card,,Normal,,,,FALSE
Sixth Sense,Trap Card,,Normal,,,,TRUE
Evoltile Lagosucho,Effect Monster,3,Reptile,FIRE,1200,500,FALSE
The Phantom Knights' Rank-Up-Magic Launch,Spell Card,,Quick-Play,,,,TRUE
Hieratic Dragon of Su,Effect Monster,6,Dragon,LIGHT,2200,1000,FALSE
Alligator's Sword Dragon,Fusion Monster,5,Dragon,WIND,1700,1500,TRUE
Cyber Phoenix,Effect Monster,4,Machine,FIRE,1200,1600,FALSE
Gravekeeper's Priestess,Effect Monster,3,Spellcaster,DARK,1000,1500,TRUE
Mozarta the Melodious Maestra,Effect Monster,8,Fairy,LIGHT,2600,2000,FALSE
C-Crush Wyvern,Union Effect Monster,4,Machine,LIGHT,1200,2000,TRUE
"Buster Blader, the Destruction Swordmaster",Effect Monster,7,Warrior,EARTH,2600,2300,FALSE
Drill Warrior,Synchro Monster,6,Warrior,EARTH,2400,2000,TRUE
Assault Beast,Effect Monster,4,Beast-Warrior,EARTH,1900,1200,FALSE
Insect Armor with Laser Cannon,Spell Card,,Equip,,,,TRUE
Dicephoon,Spell Card,,Quick-Play,,,,FALSE
Don Turtle,Effect Monster,3,Reptile,WATER,1100,1200,TRUE
Stealth Bird,Effect Monster,3,Winged Beast,DARK,700,1700,FALSE
Coach Soldier Wolfbark,Effect Monster,4,Beast-Warrior,FIRE,1600,1200,TRUE
Evilswarm Zahak,Effect Monster,4,Dragon,DARK,1850,850,FALSE
Dice Jar,Flip Effect Monster,3,Rock,LIGHT,200,300,TRUE
White Duston,Normal Monster,1,Fiend,LIGHT,0,1000,FALSE
Swordsman of Landstar,Normal Monster,3,Warrior,EARTH,500,1200,TRUE
Crystolic Potential,Spell Card,,Field,,,,FALSE
Merlin,Effect Monster,3,Spellcaster,DARK,1400,500,TRUE
Shreddder,Effect Monster,4,Machine,EARTH,1600,1000,FALSE
One Who Hunts Souls,Normal Monster,4,Beast-Warrior,EARTH,1100,1000,TRUE
Gagaga Girl,Effect Monster,3,Spellcaster,DARK,1000,800,FALSE
Skull Guardian,Ritual Monster,7,Warrior,LIGHT,2050,2500,TRUE
Cyber Angel Idaten,Ritual Effect Monster,6,Fairy,LIGHT,1600,2000,FALSE
Elemental HERO Great Tornado,Fusion Monster,8,Warrior,WIND,2800,2200,TRUE
The Legendary Fisherman,Effect Monster,5,Warrior,WATER,1850,1600,FALSE
Ally of Justice Searcher,Effect Monster,3,Machine,DARK,1400,100,TRUE
Cyber Valley,Effect Monster,1,Machine,LIGHT,0,0,FALSE
Overload Fusion,Spell Card,,Normal,,,,TRUE
Double Snare,Spell Card,,Normal,,,,FALSE
Dark Cure,Trap Card,,Continuous,,,,TRUE
Shaddoll Beast,Flip Effect Monster,5,Spellcaster,DARK,2200,1700,FALSE
Water Element,Normal Monster,3,Aqua,WATER,900,700,TRUE
Naturia Sacred Tree,Trap Card,,Continuous,,,,FALSE
D.D. Scout Plane,Effect Monster,2,Machine,DARK,800,1200,TRUE
Indiora Doom Volt the Cubic Emperor,Effect Monster,4,Fairy,LIGHT,0,0,FALSE
Rampaging Rhynos,Effect Monster,3,Beast-Warrior,EARTH,1500,1500,TRUE
Slot Machine,Normal Monster,7,Machine,DARK,2000,2300,FALSE
Monk Fighter,Effect Monster,3,Rock,EARTH,1300,1000,TRUE
Skypalace Gangaridai,XYZ Monster,10,Machine,WIND,3400,3000,FALSE
Seven Tools of the Bandit,Trap Card,,Counter,,,,TRUE
Gravekeeper's Visionary,Effect Monster,8,Spellcaster,DARK,2000,1800,FALSE
Fluffal Bear,Effect Monster,3,Fairy,EARTH,1200,800,TRUE
TGX3-DX2,Trap Card,,Normal,,,,FALSE
Psychic Tuning,Trap Card,,Continuous,,,,TRUE
Super Vehicroid - Stealth Union,Fusion Monster,9,Machine,EARTH,3600,3000,FALSE
Absorbing Jar,Flip Effect Monster,3,Rock,EARTH,600,500,TRUE
The Tripper Mercury,Effect Monster,8,Aqua,WATER,2000,2000,FALSE
Magical Reflect Slime,Gemini Monster,3,Aqua,WATER,700,1200,TRUE
Felgrand Dragon,Effect Monster,8,Dragon,LIGHT,2800,2800,FALSE
Flower Cardian Boardefly,Synchro Monster,6,Warrior,DARK,2000,2000,TRUE
Greed Grado,Spell Card,,Quick-Play,,,,FALSE
Lucky Trinket,Normal Monster,2,Spellcaster,LIGHT,600,800,TRUE
Lavalval Ignis,XYZ Monster,3,Warrior,FIRE,1800,1400,FALSE
Hieratic Dragon of Eset,Effect Monster,5,Dragon,LIGHT,1900,1200,TRUE
Change of Heart,Spell Card,,Normal,,,,FALSE
Shapesnatch,Normal Monster,5,Machine,DARK,1200,1700,TRUE
Ninja Grandmaster Sasuke,Effect Monster,4,Warrior,LIGHT,1800,1000,FALSE
Island Turtle,Normal Monster,4,Aqua,WATER,1100,2000,TRUE
Evilswarm Salamandra,Effect Monster,4,Dinosaur,DARK,1850,950,FALSE
Zombie World,Spell Card,,Field,,,,TRUE
Blackwing - Aurora the Northern Lights,Effect Monster,10,Winged Beast,LIGHT,0,0,FALSE
The Second Sarcophagus,Spell Card,,Continuous,,,,TRUE
Performage Stilts Launcher,Effect Monster,6,Spellcaster,EARTH,2200,0,FALSE
Chaos Infinity,Trap Card,,Normal,,,,TRUE
G.B. Hunter,Effect Monster,4,Warrior,EARTH,1200,2000,FALSE
Djinn Prognosticator of Rituals,Effect Monster,3,Fiend,DARK,400,300,TRUE
Zoodiac Ramram,Effect Monster,4,Beast-Warrior,EARTH,400,2000,FALSE
Goblin Fan,Trap Card,,Continuous,,,,TRUE
Cyber Laser Dragon,Effect Monster,7,Machine,LIGHT,2400,1800,FALSE
Cards for Black Feathers,Spell Card,,Normal,,,,TRUE
Raigeki Break,Trap Card,,Normal,,,,FALSE
Ancient Pixie Dragon,Synchro Monster,7,Dragon,DARK,2100,3000,TRUE
Queen of Autumn Leaves,Normal Monster,5,Plant,EARTH,1800,1500,FALSE
"Eco, Mystical Spirit of the Forest",Effect Monster,4,Plant,EARTH,1700,1000,TRUE
Trap Hole,Trap Card,,Normal,,,,FALSE
Shrine of Mist Valley,Spell Card,,Field,,,,TRUE
Mistaken Arrest,Spell Card,,Quick-Play,,,,FALSE
Psi-Station,Spell Card,,Continuous,,,,TRUE
Performapal Turn Toad,Pendulum Effect Monster,2,Aqua,WATER,0,800,FALSE
Mermaid Archer,Effect Monster,3,Sea Serpent,WATER,1200,200,TRUE
Gladiator Beast Hoplomus,Effect Monster,4,Rock,EARTH,700,2100,FALSE
Spell Economics,Spell Card,,Continuous,,,,TRUE
Kiseitai,Effect Monster,2,Fiend,DARK,300,800,FALSE
Splendid Rose,Synchro Monster,6,Plant,WIND,2200,2000,TRUE
Shiranui Style Swallow's Slash,Trap Card,,Normal,,,,FALSE
Scrap Recycler,Effect Monster,3,Machine,EARTH,900,1200,TRUE
"Sophia, Goddess of Rebirth",Effect Monster,11,Fairy,DARK,3600,3400,FALSE
Newdoria,Effect Monster,4,Fiend,DARK,1200,800,TRUE
Chronomaly City Babylon,Spell Card,,Field,,,,FALSE
Zoodiac Bunnyblast,Effect Monster,4,Beast-Warrior,EARTH,800,800,TRUE
Familiar-Possessed - Hiita,Effect Monster,4,Spellcaster,FIRE,1850,1500,FALSE
Leo Wizard,Normal Monster,5,Spellcaster,EARTH,1350,1200,TRUE
The Dragon Dwelling in the Deep,Effect Monster,4,Sea Serpent,WATER,1700,1400,FALSE
Mecha Phantom Beast Blackfalcon,Effect Monster,4,Machine,WIND,1200,1700,TRUE
M-X-Saber Invoker,XYZ Monster,3,Warrior,EARTH,1600,500,FALSE
